Code,Name,Geographic Level,Old names,City Class,"Income
Classification","Urban / Rural
(based on 2015 Population)",2015 Population,,2020 Population
084823014,Zone III (Pob.),Bgy,,,,R," 1,668 ",," 1,674 "
084823016,San Lazaro,Bgy,,,,R, 982 ,, 983
084823017,San Miguel,Bgy,,,,R, 562 ,, 565
084823018,San Roman,Bgy,,,,R, 441 ,, 437
084824000,Lope De Vega,Mun,,,4th,," 14,687 ",," 14,690 "
084824001,Bayho,Bgy,,,,R," 1,721 ",," 1,945 "
084824002,Bonifacio,Bgy,,,,R, 888 ,, 858
084824003,Cagamesarag,Bgy,,,,R, 225 ,, 159
084824004,Cag-aguingay,Bgy,,,,R, 381 ,, 342
084824005,Curry,Bgy,,,,R, 746 ,, 883
084824006,Gebonawan,Bgy,,,,R, 536 ,, 525
084824007,Gen. Luna,Bgy,,,,R, 347 ,, 365
084824008,Getigo,Bgy,,,,R, 854 ,, 922
084824009,Henaronagan,Bgy,,,,R, 253 ,, 220
084824010,Lope De Vega (Pob.),Bgy,,,,R," 3,379 ",," 3,729 "
084824011,Lower Caynaga,Bgy,,,,R, 920 ,, 946
084824012,Maghipid,Bgy,,,,R, 486 ,, 453
084824013,Magsaysay,Bgy,,,,R, 473 ,, 570
084824014,Osme�a,Bgy,,,,R, 712 ,, 675
084824015,Paguite,Bgy,,,,R, 333 ,, 430
084824016,Roxas,Bgy,,,,R, 313 ,, 191
084824017,Sampaguita,Bgy,,,,R, 193 ,, 152
084824018,San Francisco,Bgy,,,,R, 164 ,, 136
084824019,San Jose,Bgy,,,,R, 458 ,, 396
084824020,San Miguel,Bgy,,,,R, 355 ,, 379
084824021,Somoroy,Bgy,,,,R, 361 ,, 164
084824022,Upper Caynaga,Bgy,,,,R, 589 ,, 250
086000000,Samar,Prov,Western Samar,,1st,," 780,481 ",," 793,183 "
086001000,Almagro,Mun,,,5th,," 8,942 ",," 9,273 "
086001001,Bacjao,Bgy,,,,R," 1,004 ",, 810
086001004,Biasong I,Bgy,,,,R, 460 ,, 503
086001005,Costa Rica,Bgy,,,,R, 408 ,, 359
086001007,Guin-ansan,Bgy,,,,R, 288 ,, 340
086001008,Kerikite,Bgy,,,,R, 578 ,, 606
086001011,Lunang I,Bgy,Look,,,R, 489 ,, 575
086001012,Lunang II,Bgy,,,,R, 501 ,, 443
086001013,Malobago,Bgy,,,,R, 340 ,, 308
086001014,Marasbaras,Bgy,,,,R, 241 ,, 230
086001017,Panjobjoban I,Bgy,,,,R, 339 ,, 419
086001019,Poblacion,Bgy,,,,R, 245 ,, 249
086001023,Talahid,Bgy,,,,R, 494 ,, 505
086001024,Tonga-tonga,Bgy,,,,R, 245 ,, 194
086001025,Imelda,Bgy,Badjang,,,R, 369 ,, 461
086001026,Biasong II,Bgy,,,,R, 329 ,, 335
086001027,Costa Rica II,Bgy,,,,R, 301 ,, 296
086001028,Mabuhay,Bgy,,,,R, 434 ,, 469
086001029,Magsaysay,Bgy,,,,R, 357 ,, 331
086001030,Panjobjoban II,Bgy,,,,R, 489 ,, 586
086001031,Ro�o,Bgy,,,,R, 188 ,, 238
086001032,San Isidro,Bgy,,,,R, 331 ,, 405
086001033,San Jose,Bgy,,,,R, 210 ,, 276
086001034,Veloso,Bgy,,,,R, 302 ,, 335
086002000,Basey,Mun,,,1st,," 55,480 ",," 56,685 "
086002001,Amandayehan,Bgy,,,,R," 1,156 ",," 1,310 "
086002002,Anglit,Bgy,,,,R, 521 ,, 548
086002003,Bacubac,Bgy,,,,R," 1,171 ",," 1,451 "
086002004,Baloog,Bgy,,,,R, 155 ,, 142
086002005,Basiao,Bgy,,,,R," 1,317 ",," 1,432 "
086002006,Buenavista,Bgy,,,,R, 775 ,, 763
086002007,Burgos,Bgy,,,,R, 916 ,, 903
086002008,Cambayan,Bgy,,,,R, 511 ,, 558
086002009,Can-abay,Bgy,,,,R," 2,257 ",," 1,931 "
086002010,Cancaiyas,Bgy,,,,R, 575 ,, 607
086002011,Canmanila,Bgy,,,,R," 2,152 ",," 1,537 "
086002012,Catadman,Bgy,,,,R, 703 ,, 670
086002013,Cogon,Bgy,,,,R," 1,384 ",," 1,256 "
086002014,Dolongan,Bgy,,,,R," 1,280 ",," 1,414 "
086002015,Guintigui-an,Bgy,,,,R, 428 ,, 453
086002016,Guirang,Bgy,,,,R," 2,836 ",," 2,799 "
086002017,Balante,Bgy,,,,R, 606 ,, 617
086002018,Iba,Bgy,,,,R, 618 ,, 619
086002019,Inuntan,Bgy,,,,R, 670 ,, 641
086002021,Loog,Bgy,,,,R," 1,571 ",," 1,456 "
086002022,Mabini,Bgy,,,,R," 2,741 ",," 2,831 "
086002023,Magallanes,Bgy,,,,R, 578 ,, 604
086002024,Manlilinab,Bgy,,,,R, 326 ,, 284
086002025,Del Pilar,Bgy,,,,R, 947 ,," 1,020 "
086002026,May-it,Bgy,,,,R, 560 ,, 613
086002027,Mongabong,Bgy,,,,R, 351 ,, 341
086002028,New San Agustin,Bgy,,,,R, 511 ,, 824
086002029,Nouvelas Occidental,Bgy,,,,R," 1,270 ",," 1,294 "
086002030,San Fernando,Bgy,Nouvelas Oriental,,,R," 1,576 ",," 1,669 "
086002031,Old San Agustin,Bgy,,,,R," 1,812 ",," 1,810 "
086002032,Panugmonon,Bgy,,,,R, 674 ,, 721
086002033,Pelit,Bgy,,,,R, 632 ,, 784
086002034,Baybay (Pob.),Bgy,,,,R, 658 ,, 446
086002035,Buscada (Pob.),Bgy,,,,R," 1,208 ",, 882
086002036,Lawa-an (Pob.),Bgy,,,,R, 935 ,, 676
086002037,Loyo (Pob.),Bgy,,,,R," 1,409 ",," 1,207 "
086002038,Mercado (Pob.),Bgy,,,,R, 342 ,, 356
086002039,Palaypay (Pob.),Bgy,,,,R," 2,310 ",," 1,480 "
086002040,Sulod (Pob.),Bgy,,,,R, 826 ,, 650
086002041,Roxas,Bgy,,,,R," 1,443 ",," 1,439 "
086002042,Salvacion,Bgy,,,,R," 1,565 ",," 1,511 "
086002043,San Antonio,Bgy,,,,R," 2,859 ",," 2,979 "
086002044,Sawa,Bgy,,,,R," 1,190 ",," 1,422 "
086002045,Serum,Bgy,,,,R," 1,079 ",," 1,073 "
086002046,Sugca,Bgy,,,,R, 295 ,, 290
086002047,Sugponon,Bgy,,,,R, 336 ,, 308
086002048,Tinaogan,Bgy,,,,R," 1,371 ",," 1,441 "
086002049,Tingib,Bgy,,,,R," 1,297 ",," 3,632 "
086002050,Villa Aurora,Bgy,,,,R," 1,124 ",," 1,189 "
086002051,Binongtu-an,Bgy,,,,R, 421 ,, 479
086002052,Bulao,Bgy,,,,R," 1,232 ",," 1,323 "
086003000,City of Calbayog,City,,CC,1st,," 183,851 ",," 186,960 "
086003001,Jose A. Ro�o,Bgy,,,,R, 413 ,, 446
086003002,Acedillo,Bgy,,,,R, 542 ,, 615
086003003,Alibaba,Bgy,,,,R, 423 ,, 407
086003004,Amampacang,Bgy,,,,R, 764 ,, 847
086003005,Anislag,Bgy,,,,R," 1,276 ",," 1,428 "
086003007,Ba-ay,Bgy,,,,R," 1,792 ",," 1,863 "
086003008,Bagacay,Bgy,,,,U," 2,929 ",," 3,263 "
086003009,Baja,Bgy,,,,R, 314 ,, 348
086003010,Balud (Pob.),Bgy,,,,U," 3,701 ",," 3,129 "
086003011,Bante,Bgy,,,,R," 1,625 ",," 1,750 "
086003012,Bantian,Bgy,,,,R," 1,380 ",," 1,379 "
086003013,Basud,Bgy,,,,R," 1,504 ",," 1,614 "
086003015,Bayo,Bgy,,,,R, 556 ,, 612
086003016,Begaho,Bgy,,,,R," 1,725 ",," 1,550 "
086003017,Binaliw,Bgy,,,,R," 2,235 ",," 2,010 "
086003018,Bugtong,Bgy,,,,R," 1,886 ",," 1,844 "
086003019,Buenavista,Bgy,,,,R, 61 ,, 75
086003020,Cabacungan,Bgy,,,,R, 892 ,, 947
086003021,Cabatuan,Bgy,,,,R," 1,526 ",," 1,436 "
086003022,Cabicahan,Bgy,,,,R, 675 ,, 672
086003023,Cabugawan,Bgy,,,,R, 557 ,, 619
086003024,Cacaransan,Bgy,,,,R, 704 ,, 794
086003025,Cag-olango,Bgy,,,,R, 865 ,, 804
086003027,Cag-anahaw,Bgy,,,,R, 347 ,, 414
086003028,Cagbanayacao,Bgy,,,,R, 340 ,, 305
086003029,Cagbayang,Bgy,,,,R, 904 ,, 900
086003030,Cagbilwang,Bgy,,,,R, 514 ,, 650
086003031,Cagboborac,Bgy,,,,R, 388 ,, 391
086003032,Caglanipao Sur,Bgy,,,,R," 1,124 ",," 1,124 "
086003033,Cagmanipis Norte,Bgy,,,,R," 1,880 ",," 1,774 "
086003034,Cag-anibong,Bgy,,,,R, 553 ,, 572
086003035,Cagnipa,Bgy,,,,R," 2,285 ",," 2,325 "
086003036,Cagsalaosao,Bgy,,,,R," 1,576 ",," 1,841 "
086003037,Cahumpan,Bgy,,,,R, 501 ,, 612
086003039,Calocnayan,Bgy,,,,R, 193 ,, 112
086003040,Cangomaod,Bgy,,,,R, 192 ,, 201
086003041,Canhumadac,Bgy,,,,R, 288 ,, 376
086003042,Capacuhan,Bgy,,,,R, 808 ,, 899
086003043,Capoocan,Bgy,,,,U," 4,840 ",," 5,191 "
086003044,Carayman,Bgy,,,,U," 4,689 ",," 5,071 "
086003045,Catabunan,Bgy,,,,R, 261 ,, 274
086003047,Caybago,Bgy,,,,R, 408 ,, 389
086003048,Central (Pob.),Bgy,,,,U, 815 ,, 512
086003049,Cogon,Bgy,,,,R, 926 ,, 984
086003050,Dagum,Bgy,,,,U," 5,804 ",," 6,127 "
086003052,Dawo,Bgy,,,,R," 1,156 ",," 1,179 "
086003053,De Victoria,Bgy,,,,R, 287 ,, 367
086003054,Dinabongan,Bgy,,,,R, 323 ,, 296
086003055,Dinagan,Bgy,,,,R, 639 ,, 757
086003056,Dinawacan,Bgy,,,,R, 366 ,, 419
086003057,Esperanza,Bgy,,,,R, 330 ,, 164
086003058,Gadgaran,Bgy,,,,R," 1,782 ",," 1,993 "
086003059,Gasdo,Bgy,,,,R, 127 ,, 139
086003060,Helino,Bgy,,,,R, 396 ,, 380
086003061,Geragaan,Bgy,,,,R, 475 ,, 470
086003062,Guin-on,Bgy,,,,R," 1,022 ",," 1,280 "
086003063,Guinbaoyan Norte,Bgy,,,,R, 740 ,, 746
086003064,Guinbaoyan Sur,Bgy,,,,R, 765 ,, 802
086003065,Hamorawon,Bgy,,,,R," 4,291 ",," 4,636 "
086003066,Hibabngan,Bgy,,,,R, 228 ,, 202
086003067,Hibatang,Bgy,,,,R, 201 ,, 180
086003068,Higasaan,Bgy,,,,R, 306 ,, 178
086003069,Himalandrog,Bgy,,,,R, 701 ,, 763
086003070,Jimautan,Bgy,,,,R, 617 ,, 651
086003071,Hugon Rosales,Bgy,,,,R, 252 ,, 333
086003072,Jacinto,Bgy,,,,R, 148 ,, 136
086003074,Aguit-itan (Pob.),Bgy,,,,U," 3,069 ",," 2,648 "
086003076,Kilikili,Bgy,,,,R, 362 ,, 347
086003077,La Paz,Bgy,,,,R, 641 ,, 628
086003078,Langoyon,Bgy,,,,R, 227 ,, 215
086003079,Lapaan,Bgy,,,,R, 445 ,, 466
086003081,Libertad,Bgy,,,,R, 353 ,, 330
086003082,Limarayon,Bgy,,,,R, 567 ,, 511
086003083,Looc,Bgy,,,,R, 351 ,, 461
086003084,Longsob,Bgy,,,,R, 632 ,, 677
086003085,Lonoy,Bgy,,,,R, 968 ,," 1,083 "
086003086,Mabini I,Bgy,Calbayog District,,,R, 250 ,, 338
086003087,Mabini II,Bgy,Oquendo District,,,R, 392 ,, 408
086003088,Macatingog,Bgy,,,,R," 1,709 ",," 1,683 "
086003089,Mag-ubay,Bgy,,,,R," 1,552 ",," 1,618 "
086003090,Manguino-o,Bgy,,,,R," 1,213 ",," 1,181 "
086003091,Malaga,Bgy,,,,R," 1,811 ",," 1,929 "
086003092,Malajog,Bgy,,,,U," 2,140 ",," 2,132 "
086003093,Malayog,Bgy,,,,R," 1,344 ",," 1,353 "
086003094,Malopalo,Bgy,,,,R," 1,291 ",," 1,226 "
086003095,Marcatubig,Bgy,,,,R, 688 ,, 816
086003096,Mancol,Bgy,,,,R, 220 ,, 270
086003097,Mantaong,Bgy,Oquendo District,,,R, 289 ,, 324
086003098,Matobato,Bgy,,,,U," 4,529 ",," 4,534 "
086003099,Mawacat,Bgy,,,,R," 1,092 ",," 1,099 "
086003101,Maybog,Bgy,,,,R, 270 ,, 272
086003102,Maysalong,Bgy,,,,R, 221 ,, 191
086003103,Migara,Bgy,,,,R," 1,140 ",," 1,177 "
086003105,Nabang,Bgy,,,,R, 687 ,, 615
086003106,Naga,Bgy,,,,R, 821 ,, 873
086003107,Nag-uma,Bgy,,,,R, 135 ,, 66
086003109,Navarro,Bgy,,,,R, 611 ,, 617
086003110,Nijaga,Bgy,,,,R," 2,651 ",," 2,951 "
086003111,Oboob,Bgy,,,,R, 417 ,, 471
086003112,Obrero,Bgy,,,,U," 4,529 ",," 4,640 "
086003113,Olera,Bgy,,,,R, 263 ,, 147
086003114,Oquendo (Pob.),Bgy,,,,R," 2,204 ",," 2,154 "
086003115,Osme�a,Bgy,,,,R, 333 ,, 301
086003116,Palanas,Bgy,,,,R, 384 ,, 471
086003117,Palanogan,Bgy,,,,R, 481 ,, 467
086003118,Panlayahan,Bgy,,,,R, 673 ,, 666
086003119,Panonongon,Bgy,,,,R, 332 ,, 203
086003120,Panoypoy,Bgy,,,,R, 573 ,, 549
086003121,Patong,Bgy,,,,R, 536 ,, 602
086003122,Pe�a,Bgy,,,,R," 2,764 ",," 2,783 "
086003123,Pilar,Bgy,,,,R," 2,114 ",," 2,094 "
086003124,Pinamorotan,Bgy,,,,R, 359 ,, 354
086003126,Quezon,Bgy,,,,R, 231 ,, 260
086003127,Rawis,Bgy,,,,U," 6,028 ",," 5,077 "
086003128,Rizal I,Bgy,Calbayog District,,,R, 715 ,," 1,896 "
086003129,Rizal II,Bgy,Oquendo District,,,R, 511 ,, 579
086003130,Roxas I,Bgy,Calbayog District,,,R, 209 ,, 221
086003131,Roxas II,Bgy,Oquendo District,,,R, 869 ,, 860
086003132,Saljag,Bgy,Baut,,,R, 617 ,, 727
086003133,Salvacion,Bgy,,,,R, 163 ,, 168
086003134,San Antonio,Bgy,,,,R, 297 ,, 270
086003135,San Isidro,Bgy,,,,R, 624 ,, 286
086003136,San Joaquin,Bgy,,,,U," 5,901 ",," 5,969 "
086003137,San Jose,Bgy,,,,R, 601 ,, 373
086003138,San Policarpo,Bgy,,,,U," 6,388 ",," 6,674 "
086003139,San Rufino,Bgy,,,,R, 779 ,, 729
086003140,Saputan,Bgy,,,,R, 433 ,, 421
086003141,Sigo,Bgy,,,,R, 955 ,, 811
086003142,Sinantan,Bgy,,,,R, 242 ,, 248
086003143,Sinidman Occidental,Bgy,,,,R, 808 ,, 775
086003144,Sinidman Oriental,Bgy,,,,R, 679 ,, 674
086003145,Tabawan,Bgy,,,,R, 774 ,, 789
086003146,Talahiban,Bgy,,,,R, 452 ,, 488
086003147,Tapae,Bgy,,,,R, 409 ,, 409
086003148,Tarabucan,Bgy,,,,R," 1,974 ",," 2,035 "
086003149,Tigbe,Bgy,,,,R, 263 ,, 230
086003152,Tinaplacan,Bgy,,,,R," 1,709 ",," 1,687 "
086003153,Tomaliguez,Bgy,,,,R, 971 ,," 1,005 "
086003154,Trinidad,Bgy,Sabang,,,U," 4,406 ",," 4,441 "
086003155,Victory,Bgy,,,,R, 563 ,, 499
086003156,Villahermosa,Bgy,,,,R, 744 ,, 669
086003158,Awang East (Pob.),Bgy,,,,U," 2,434 ",," 2,223 "
086003159,Awang West (Pob.),Bgy,,,,U," 2,603 ",," 2,066 "
086003160,Bagong Lipunan,Bgy,,,,R, 218 ,, 231
086003162,Bontay,Bgy,,,,R, 424 ,, 436
086003164,Kalilihan,Bgy,,,,R, 231 ,, 254
086003165,Carmen,Bgy,,,,R," 2,872 ",," 2,571 "
086003166,Danao I,Bgy,,,,R," 2,714 ",," 2,965 "
086003167,Danao II,Bgy,,,,R, 433 ,, 481
086003168,Gabay,Bgy,,,,R, 264 ,, 213
086003171,Pagbalican,Bgy,,,,R, 708 ,, 782
086003173,Payahan,Bgy,,,,R," 2,435 ",," 3,479 "
086003174,Tanval,Bgy,,,,R, 347 ,, 466
086003175,Tinambacan Norte,Bgy,,,,R," 2,163 ",," 2,134 "
086003176,Tinambacan Sur,Bgy,,,,R," 3,281 ",," 3,269 "
086003177,Cagmanipis Sur,Bgy,,,,R," 1,189 ",," 1,189 "
086003178,"Manuel Barral, Sr.",Bgy,,,,R, 454 ,, 423
086004000,Calbiga,Mun,,,4th,," 22,982 ",," 23,310 "
086004001,Antol,Bgy,,,,R, 253 ,, 253
086004002,Bacyaran,Bgy,,,,R," 1,111 ",," 1,124 "
086004003,Beri,Bgy,,,,R, 338 ,, 291
086004004,Barobaybay,Bgy,,,,R, 703 ,, 721
086004005,Binanggaran,Bgy,,,,R, 231 ,, 156
086004006,Borong,Bgy,,,,R, 422 ,, 521
086004007,Bulao,Bgy,,,,R, 268 ,, 380
086004008,Buluan,Bgy,,,,R, 763 ,, 632
086004009,Caamlongan,Bgy,,,,R, 251 ,, 228
086004010,Calayaan,Bgy,,,,R, 425 ,, 421
086004011,Calingonan,Bgy,,,,R, 900 ,, 916
086004012,Canbagtic,Bgy,,,,R, 394 ,, 422
086004013,Canticum,Bgy,,,,R," 1,292 ",," 1,426 "
086004014,Daligan,Bgy,,,,R, 186 ,, 179
086004015,Guinbanga,Bgy,,,,R, 247 ,, 194
086004016,Hubasan,Bgy,,,,R, 160 ,, 162
086004017,Literon,Bgy,,,,R, 251 ,, 343
086004018,Lubang,Bgy,,,,R, 179 ,, 157
086004019,Mahangcao,Bgy,,,,R, 330 ,, 351
086004020,Macaalan,Bgy,,,,R, 752 ,, 916
086004021,Malabal,Bgy,,,,R," 1,152 ",," 1,253 "
086004022,Minata,Bgy,,,,R, 397 ,, 387
086004024,Otoc,Bgy,,,,R, 322 ,, 293
086004025,Panayuran,Bgy,,,,R, 462 ,, 500
086004026,Pasigay,Bgy,,,,R, 648 ,, 570
086004027,Patong,Bgy,,,,R," 1,325 ",," 1,367 "
086004028,Barangay 1 (Pob.),Bgy,,,,R, 413 ,, 360
086004029,Barangay 2 (Pob.),Bgy,,,,R, 190 ,, 177
086004030,Barangay 3 (Pob.),Bgy,,,,R, 426 ,, 306
086004031,Barangay 4 (Pob.),Bgy,,,,R, 438 ,, 388
086004032,Barangay 5 (Pob.),Bgy,,,,R, 277 ,, 206
086004033,Barangay 6 (Pob.),Bgy,,,,R, 830 ,, 830
086004034,Barangay 7 (Pob.),Bgy,,,,R, 567 ,, 543
086004035,Polangi,Bgy,,,,R," 2,682 ",," 2,935 "
086004036,Rawis,Bgy,,,,R, 576 ,, 606
086004037,San Ignacio,Bgy,,,,R, 721 ,, 846
086004038,San Mauricio,Bgy,,,,R, 390 ,, 297
086004039,Sinalangtan,Bgy,,,,R, 201 ,, 152
086004040,Timbangan,Bgy,,,,R, 458 ,, 456
086004041,Tinago,Bgy,,,,R, 920 ,, 922
086004042,Hindang,Bgy,,,,R, 131 ,, 123
086005000,City of Catbalogan (Capital),City,,CC,5th,," 103,879 ",," 106,440 "
086005001,Albalate,Bgy,,,,R, 267 ,, 293
086005002,Bagongon,Bgy,,,,R, 696 ,, 707
086005003,Bangon,Bgy,,,,R, 245 ,, 272
086005004,Basiao,Bgy,,,,R, 648 ,, 700
086005005,Buluan,Bgy,,,,R, 763 ,, 791
086005006,Bunuanan,Bgy,,,,R," 4,358 ",," 4,786 "
086005007,Cabugawan,Bgy,,,,R, 956 ,, 964
086005008,Cagudalo,Bgy,,,,R, 185 ,, 275
086005009,Cagusipan,Bgy,,,,R, 210 ,, 231
086005011,Cagutian,Bgy,,,,R, 276 ,, 235
086005012,Cagutsan,Bgy,,,,R," 1,291 ",," 1,215 "
086005013,Canhawan Gote,Bgy,,,,R, 357 ,, 307
086005014,Canlapwas (Pob.),Bgy,,,,U," 12,321 ",," 11,805 "
086005015,Cawayan,Bgy,,,,R, 177 ,, 165
086005016,Cinco,Bgy,,,,R, 836 ,, 865
086005017,Darahuway Daco,Bgy,,,,R, 760 ,, 810
086005018,Darahuway Gote,Bgy,,,,R, 633 ,, 689
086005019,Estaka,Bgy,,,,R," 1,067 ",," 1,148 "
086005020,Guinsorongan,Bgy,,,,R," 4,538 ",," 4,255 "
086005021,Iguid,Bgy,,,,R," 1,754 ",," 1,697 "
086005022,Lagundi,Bgy,,,,R, 828 ,," 1,023 "
086005023,Libas,Bgy,,,,R, 372 ,, 325
